StartDate,EndDate,Progress,ResponseId,consent,favor_use,preprint_cred1_1,preprint_cred1_2,preprint_cred1_3,preprint_cred1_4,preprint_cred1_5,preprint_cred2_1,preprint_cred2_2,preprint_cred2_3,preprint_cred2_4,preprint_cred3_1,preprint_cred3_2,preprint_cred3_3,preprint_cred4_1,preprint_cred4_2,preprint_cred4_3,preprint_cred4_4,preprint_cred5_1,preprint_cred5_2,preprint_cred5_3,services_cred1_1,services_cred1_2,services_cred1_3,services_cred1_4,service_cred2_1,service_cred2_2,service_cred2_3,service_cred2_4,service_cred3_1,service_cred3_2,service_cred3_3,service_cred3_4,service_cred3_5,service_credible4_1,service_credible4_2,service_credible4_3,service_credible4_4,service_credible4_5,position_7_TEXT,age,discipline_specific,discipline_other,how_heard,familiar,preprints_submitted,preprints_used,position,discipline,country,continent,HDI_2017,hdi_level,bepress_tier3,bepress_tier2,bepress_tier1,discipline_collapsed,acad_career_stage
3/26/19 15:31,3/26/19 15:37,100,R_PIdZexWZoietIyZ,1,3,1,2,4,5,2,5,5,3,4,2,3,1,5,5,5,5,5,5,5,2,3,2,3,1,2,2,1,0,1,0,3,3,3,-1,-2,3,3,NA,33,Social/personality psychology,NA,Twitter,Extremely familiar,"Yes, many times","Yes, many times","Assistant Professor, or equivalent",Psychology,United States of America,North America,0.924,very high,NA,Psychology,Social and Behavioral Sciences,Psychology,Assist Prof
3/26/19 15:33,3/26/19 15:40,100,R_3fN7x5dGAhWpvUN,1,3,2,2,2,4,4,3,2,4,4,3,4,3,5,5,5,5,5,5,5,2,2,2,2,1,2,1,2,2,2,2,3,2,2,-2,-2,-1,2,NA,29,Methods,NA,Twitter,Very familiar,"Yes, a few times","Yes, many times",Graduate Student,Psychology,Netherlands,Europe,0.931,very high,NA,Psychology,Social and Behavioral Sciences,Psychology,Grad Student
3/26/19 15:34,3/26/19 15:41,100,R_71GezDSKMgTnxcZ,1,3,2,1,2,4,2,3,1,2,3,4,4,3,5,5,5,5,5,5,5,1,2,1,3,1,3,2,2,0,1,3,1,2,0,0,0,0,2,NA,39,Social/personality psychology,NA,Twitter,Very familiar,"Yes, many times","Yes, many times","Professor, or equivalent",Psychology,United States of America,North America,0.924,very high,NA,Psychology,Social and Behavioral Sciences,Psychology,Full Prof
3/26/19 15:32,3/26/19 15:42,100,R_32XENO7KP0iZPdr,1,0,2,4,4,4,2,3,5,1,2,2,3,1,4,3,3,4,3,4,3,3,2,2,0,0,0,1,2,2,3,-2,0,2,1,0,0,0,2,NA,39,Educational psychology,NA,Twitter,Very familiar,No,"Yes, a few times","Assistant Professor, or equivalent",Psychology,Denmark,Europe,0.929,very high,Other Psychology,Psychology,Social and Behavioral Sciences,Psychology,Assist Prof
3/26/19 15:39,3/26/19 15:48,100,R_3h6HRM68zpoEvGX,1,3,2,2,2,2,4,4,2,4,4,1,3,1,4,4,4,4,3,4,4,1,3,3,1,3,3,3,3,0,2,2,3,1,3,-1,-1,1,3,NA,36,NA,NA,B.N.’s tweet,Extremely familiar,"Yes, many times","Yes, many times","Research Scientist/Staff Scientist, or equivalent",Library/Information Science,United States of America,North America,0.924,very high,NA,Library and Information Science,Social and Behavioral Sciences,Other Social Sciences,NA
3/26/19 15:40,3/26/19 15:48,100,R_A07bsWqrFtXDBdf,1,2,1,1,1,2,3,3,3,1,3,3,3,1,4,5,4,4,3,4,4,2,0,2,3,2,1,2,3,3,2,0,2,1,1,-1,-1,1,1,NA,39,NA,Educational research,Twittzr,Moderately familiar,No,"Yes, a few times",Graduate Student,Other,Belgium,Europe,0.916,very high,NA,NA,Education,Other,Grad Student
3/26/19 15:41,3/26/19 15:49,100,R_2ukoOnDRmDLYckF,1,1,2,1,1,5,4,4,3,1,2,2,3,1,4,5,4,5,1,4,3,1,3,2,3,2,2,0,3,1,2,1,1,1,0,-3,-1,-1,2,NA,31,Evolutionary Biology,NA,Twitter,Very familiar,No,"Yes, many times",Post doc,Ecology/Evolutionary Science,France,Europe,0.901,very high,Evolution,Ecology and Evolutionary Biology,Life Sciences,Life Sciences (Biology),Post doc
3/26/19 15:45,3/26/19 15:51,100,R_2aKSuwdfXjMVVfS,1,2,2,2,4,4,3,3,2,3,2,3,3,2,2,3,4,2,2,4,4,2,1,1,3,2,1,0,2,0,1,1,2,3,2,2,-1,1,1,NA,NA,NA,NA,NA,Very familiar,"Yes, a few times","Yes, many times","Assistant Professor, or equivalent",Political Science,United Kingdom of Great Britain and Northern Ireland,Europe,0.922,very high,NA,Political Science,Social and Behavioral Sciences,Other Social Sciences,Assist Prof
3/26/19 15:35,3/26/19 15:52,100,R_2PhtMTquhQR5BLD,1,3,4,3,3,3,3,1,3,4,4,2,3,2,4,4,4,4,4,4,4,3,1,3,0,0,3,3,3,2,3,1,3,3,3,-1,-1,1,3,NA,46,NA,Cognitive Neuroscience,Twitter,Extremely familiar,"Yes, many times","Yes, many times","Assistant Professor, or equivalent",Other,Netherlands,Europe,0.931,very high,Cognitive Neuroscience,Neuroscience and Neurobiology,Life Sciences,Life Sciences (Biology),Assist Prof
3/26/19 15:43,3/26/19 15:52,100,R_1i5paVr6l3yf8U7,1,3,1,1,1,4,2,1,1,1,1,2,2,1,4,2,2,2,4,2,4,3,3,2,2,0,1,1,0,0,1,1,1,2,1,1,1,-1,1,NA,29,(Behavioural) Ecology,NA,Twitter,Moderately familiar,No,No,"Research Scientist/Staff Scientist, or equivalent",Ecology/Evolutionary Science,Canada,North America,0.926,very high,Behavior and Ethology,Ecology and Evolutionary Biology,Life Sciences,Life Sciences (Biology),NA
3/26/19 15:54,3/26/19 15:57,100,R_3yGUykmVWo2fYbv,1,3,4,2,1,2,2,2,1,2,3,3,4,2,4,4,4,2,4,5,5,1,0,1,2,0,0,0,1,0,0,1,1,1,0,-3,-1,0,1,NA,26,Immunology,NA,Twitter,Extremely familiar,No,"Yes, many times",Graduate Student,Biology,United States of America,North America,0.924,very high,NA,Immunology and Infectious Disease,Life Sciences,Life Sciences (Biology),Grad Student
3/26/19 15:56,3/26/19 16:01,100,R_x4rIGMYasaZVDVL,1,3,3,4,5,5,3,5,5,5,5,3,3,3,5,5,5,5,5,5,5,3,3,3,3,0,2,3,3,3,3,1,3,3,3,-2,-2,3,3,NA,31,NA,Public Health,Twitter,Extremely familiar,"Yes, a few times","Yes, many times","Assistant Professor, or equivalent",Other,United States of America,North America,0.924,very high,NA,Public Health,Medicine and Health Sciences,Medicine and Health Sciences,Assist Prof
3/26/19 15:42,3/26/19 16:01,100,R_1MTa0tHmDNAZmFz,1,2,1,2,3,2,3,3,4,3,2,5,5,4,3,3,4,4,3,3,3,3,3,3,1,0,3,3,3,0,2,2,2,1,1,-2,0,1,0,NA,33,American politics,NA,Brian Nosek's twitter,Very familiar,"Yes, a few times","Yes, many times",Post doc,Political Science,United States of America,North America,0.924,very high,American Politics,Political Science,Social and Behavioral Sciences,Other Social Sciences,Post doc
3/26/19 15:53,3/26/19 16:03,100,R_2641jx9fCgbEcbD,1,2,2,2,2,4,4,4,4,3,3,2,3,3,4,4,4,4,3,4,4,0,0,1,2,2,2,2,1,0,1,1,0,0,0,-1,-1,0,1,NA,60,NA,Epidemiology,Twitter,Slightly familiar,No,"Yes, a few times","Assistant Professor, or equivalent",Other,Netherlands,Europe,0.931,very high,Epidemiology,Public Health,Medicine and Health Sciences,Medicine and Health Sciences,Assist Prof
3/26/19 16:00,3/26/19 16:06,100,R_7NSMSBKkXgoRD8Z,1,3,2,1,4,4,4,2,3,2,3,2,2,1,4,4,4,4,4,4,4,1,1,1,1,3,3,3,1,0,2,-2,2,0,1,0,-2,2,3,Independent,27,Meta research,NA,Twitter-Verse,Extremely familiar,"Yes, many times","Yes, many times","Other, please specify",Statistics,Germany,Europe,0.936,very high,NA,Statistics and Probability,Physical Sciences and Mathematics,Physical Sciences and Mathematics,NA
3/26/19 16:05,3/26/19 16:09,100,R_1LhDtWGfItetoBG,1,3,3,3,3,2,2,4,3,4,5,2,4,4,5,5,5,5,5,5,5,3,3,3,2,0,3,3,3,1,2,0,0,1,3,-3,-1,1,2,NA,29,comparative-historical,NA,linkedin,Very familiar,"Yes, a few times","Yes, many times","Research Scientist/Staff Scientist, or equivalent",Sociology,United States of America,North America,0.924,very high,"Quantitative, Qualitative, Comparative, and Historical Methodologies",Sociology,Social and Behavioral Sciences,Other Social Sciences,NA
3/26/19 16:11,3/26/19 16:17,100,R_12JfXvVp8BUPzKG,1,0,2,2,4,4,4,4,1,2,2,3,2,2,5,5,5,5,5,5,5,0,0,1,1,1,1,1,1,1,2,2,2,0,1,0,0,-1,3,NA,31,NA,Social Work,Twitter,Very familiar,"Yes, a few times","Yes, many times",Graduate Student,Other,United States of America,North America,0.924,very high,NA,Social Work,Social and Behavioral Sciences,Other Social Sciences,Grad Student
