"Timestamp","Consent and understanding","What is your title/position?","How many years of experience in visualization research do you have?","How often do you use the following sources when finding papers related to your research? [ACM/IEEE DL]","How often do you use the following sources when finding papers related to your research? [Citations from relevant articles]","How often do you use the following sources when finding papers related to your research? [ResearchGate]","How often do you use the following sources when finding papers related to your research? [PubMed]","How often do you use the following sources when finding papers related to your research? [Suggestions from peers/mentors]","How often do you use the following sources when finding papers related to your research? [Journal issues/conference proceedings]","How often do you use the following sources when finding papers related to your research? [Google Scholar]","If you use any other source, indicate here which one","...and how often you use it [Other criteria]","How important are the following criteria when deciding whether or not to read a paper in detail? Assume that you have all of this information available to you. [Publication venue]","How important are the following criteria when deciding whether or not to read a paper in detail? Assume that you have all of this information available to you. [Availability of data]","How important are the following criteria when deciding whether or not to read a paper in detail? Assume that you have all of this information available to you. [Usage metrics (downloads, citations, altmetric)]","How important are the following criteria when deciding whether or not to read a paper in detail? Assume that you have all of this information available to you. [Recency of the publication]","How important are the following criteria when deciding whether or not to read a paper in detail? Assume that you have all of this information available to you. [Personal familiarity with authors]","How important are the following criteria when deciding whether or not to read a paper in detail? Assume that you have all of this information available to you. [Availability of pre-registration/study registration]","How important are the following criteria when deciding whether or not to read a paper in detail? Assume that you have all of this information available to you. [Institutional affiliation of the authors]","How important are the following criteria when deciding whether or not to read a paper in detail? Assume that you have all of this information available to you. [Availability of research materials]","If you use any other criteria, indicate here which one","...and how important it is [Other criteria]","How important are the following criteria when assessing the quality of a venue? [Conference attendance/citations/downloads]","How important are the following criteria when assessing the quality of a venue? [Audience scope (regional/national vs international)]","How important are the following criteria when assessing the quality of a venue? [Acceptance rate/total submissions]","How important are the following criteria when assessing the quality of a venue? [Institutional/National ranking system (e.g., CORE)]","How important are the following criteria when assessing the quality of a venue? [Metrics of the venue (e.g., Journal Impact Factor, H5 index, Google Scholar ranking)]","How important are the following criteria when assessing the quality of a venue? [Opinions of peers/mentors]","How important are the following criteria when assessing the quality of a venue? [Research scope of the venue (i.e., focused vs broad)]","If you use any other criteria, indicate here which one","...and how important it is [Other criteria]","How correlated do you think the quality of a venue is with the quality of its research papers?","Are there any other thoughts or comments you wish to share with us?"
"2021/07/20 9:30:42 PM GMT+10","I understand that my data will be used and published on a repository, and I certify that I meet the criteria for participation in this survey","Graduate Student (Masters, PhD)","3","Frequently","Always","Frequently","Rarely","Sometimes","Rarely","Always","","","Slightly important","Very important","Very important","Very important","Moderately important","Moderately important","Slightly important","Very important","","","Extremely important","Extremely important","Moderately important","Slightly important","Very important","Extremely important","Moderately important","","","4",""
"2021/07/20 9:31:06 PM GMT+10","I understand that my data will be used and published on a repository, and I certify that I meet the criteria for participation in this survey","Associate Professor, or equivalent","10","Rarely","Frequently","Never","Rarely","Frequently","Sometimes","Frequently","","","Slightly important","Not at all important","Slightly important","Slightly important","Slightly important","Not at all important","Not at all important","Not at all important","Relevance to the topic I'm researching based on title/abstract.","Extremely important","Slightly important","Slightly important","Slightly important","Not at all important","Slightly important","Moderately important","Slightly important","Personal experience","Extremely important","4",""
"2021/07/20 9:35:08 PM GMT+10","I understand that my data will be used and published on a repository, and I certify that I meet the criteria for participation in this survey","Research Scientist/Staff Scientist, or equivalent","10","Never","Rarely","Never","Rarely","Always","Frequently","Always","Slack and twitter","Extremely important","Moderately important","Very important","Not at all important","Moderately important","Moderately important","Very important","Not at all important","Very important","","","Moderately important","Slightly important","Not at all important","Not at all important","Slightly important","Slightly important","Slightly important","","","5","I define the quality of a venue as the quality of it's papers, so it necessarily has a correlation of 1.0."
"2021/07/20 9:45:29 PM GMT+10","I understand that my data will be used and published on a repository, and I certify that I meet the criteria for participation in this survey","Private Sector/Practitioner, or equivalent","8","Rarely","Sometimes","Rarely","Never","Frequently","Sometimes","Always","","","Moderately important","Not at all important","Slightly important","Not at all important","Not at all important","Not at all important","Not at all important","Slightly important","","","Moderately important","Slightly important","Moderately important","Moderately important","Moderately important","Moderately important","Moderately important","","","3",""
"2021/07/20 9:48:20 PM GMT+10","I understand that my data will be used and published on a repository, and I certify that I meet the criteria for participation in this survey","Post-doctoral Researcher","9","Frequently","Frequently","Never","Never","Sometimes","Sometimes","Always","","","Extremely important","Slightly important","Not at all important","Moderately important","Moderately important","Not at all important","Slightly important","Slightly important","","","Moderately important","Slightly important","Very important","Not at all important","Very important","Moderately important","Very important","","","4",""
"2021/07/20 9:48:38 PM GMT+10","I understand that my data will be used and published on a repository, and I certify that I meet the criteria for participation in this survey","Post-doctoral Researcher","6.5","Frequently","Frequently","Sometimes","Rarely","Sometimes","Frequently","Always","Monash Library","Moderately important","Extremely important","Slightly important","Moderately important","Moderately important","Moderately important","Slightly important","Moderately important","Slightly important","","","Very important","Moderately important","Moderately important","Extremely important","Extremely important","Moderately important","Moderately important","","","4",""
"2021/07/20 9:52:06 PM GMT+10","I understand that my data will be used and published on a repository, and I certify that I meet the criteria for participation in this survey","Associate Professor, or equivalent","6","Never","Frequently","Sometimes","Rarely","Sometimes","Rarely","Always","","","Not at all important","Slightly important","Not at all important","Very important","Not at all important","Slightly important","Not at all important","Slightly important","","","Very important","Moderately important","Not at all important","Slightly important","Slightly important","Slightly important","Very important","","","2",""
"2021/07/20 10:48:15 PM GMT+10","I understand that my data will be used and published on a repository, and I certify that I meet the criteria for participation in this survey","Assistant Professor, or equivalent","8","Sometimes","Frequently","Rarely","Never","Frequently","Sometimes","Frequently","Web of Science","Slightly important","Very important","Slightly important","Moderately important","Moderately important","Very important","Not at all important","Moderately important","Slightly important","Figures in the paper, structure of the paper, fit with my research goals","Extremely important","Very important","Very important","Very important","Very important","Moderately important","Very important","Moderately important","","","4",""
"2021/07/20 11:28:14 PM GMT+10","I understand that my data will be used and published on a repository, and I certify that I meet the criteria for participation in this survey","Graduate Student (Masters, PhD)","7","Never","Frequently","Never","Never","Sometimes","Rarely","Always","","","Moderately important","Not at all important","Not at all important","Slightly important","Moderately important","Not at all important","Not at all important","Not at all important","","","Not at all important","Moderately important","Moderately important","Not at all important","Slightly important","Extremely important","Moderately important","","","4",""
"2021/07/21 12:18:29 AM GMT+10","I understand that my data will be used and published on a repository, and I certify that I meet the criteria for participation in this survey","Graduate Student (Masters, PhD)","3","Sometimes","Sometimes","Never","Never","Frequently","Sometimes","Always","","","Moderately important","Slightly important","Moderately important","Very important","Slightly important","Slightly important","Slightly important","Slightly important","How related is the paper to my field/current work","Extremely important","Very important","Very important","Not at all important","Not at all important","Moderately important","Extremely important","Not at all important","","","5",""
